seed,threshold,n,t_max,dt,peak_drift,final_drift,peak_time,branches,passed_i16,passed_i18,reference,run_id
0,0.15,8,0.3,0.02,0.002205390345605185,0.002205390345605185,0.3,4,true,true,candidate,000148
0,0.15,8,0.5,0.005,0.0028211130866093725,0.002685295535572285,0.44,4,true,true,candidate,000149
0,0.15,8,0.5,0.01,0.0028211130830393394,0.0026852955389593536,0.44,4,true,true,candidate,000150
0,0.15,8,0.5,0.02,0.00282111266107421,0.002685295178353364,0.44,4,true,true,candidate,000151
0,0.15,8,1.0,0.005,0.00955488528168602,0.00955488528168602,1.0,4,true,true,candidate,000152
0,0.15,8,1.0,0.01,0.009554885179731465,0.009554885179731465,1.0,4,true,true,candidate,000153
0,0.15,8,1.0,0.02,0.009554884348561776,0.009554884348561776,1.0,4,true,true,candidate,000154
0,0.15,8,3.0,0.005,0.02975322584609863,0.02975322584609863,3.0,6,true,true,candidate,000155
0,0.15,8,3.0,0.01,0.02975322556975768,0.02975322556975768,3.0,6,true,true,candidate,000156
0,0.15,8,3.0,0.02,0.029753218851909402,0.029753218851909402,3.0,6,true,true,candidate,000157
0,0.15,12,0.3,0.005,0.01004426342250342,0.01004426342250342,0.3,1,false,true,candidate,000158
0,0.15,12,0.3,0.01,0.010044263078100248,0.010044263078100248,0.3,1,false,true,candidate,000159
0,0.15,12,0.3,0.02,0.010044255748953403,0.010044255748953403,0.3,1,false,true,candidate,000160
0,0.15,12,0.5,0.005,0.022158024050163653,0.022158024050163653,0.5,2,false,true,candidate,000161
0,0.15,12,0.5,0.01,0.022158023432317434,0.022158023432317434,0.5,2,false,true,candidate,000162
0,0.15,12,0.5,0.02,0.02215801044731636,0.02215801044731636,0.5,2,false,true,candidate,000163
0,0.15,12,1.0,0.005,0.039044013882512225,0.039044013882512225,1.0,3,false,false,candidate,000164
0,0.15,12,1.0,0.01,0.039044012778615696,0.039044012778615696,1.0,3,false,false,candidate,000165
0,0.15,12,1.0,0.02,0.03904398864793624,0.03904398864793624,1.0,3,false,false,candidate,000166
0,0.15,12,3.0,0.005,0.03927621298285578,0.017825791436613895,1.08,8,true,false,candidate,000167
0,0.15,12,3.0,0.01,0.03927621182484032,0.017825791072805578,1.08,8,true,false,candidate,000168
0,0.15,12,3.0,0.02,0.039276186275865384,0.0178257648395902,1.08,8,true,false,candidate,000169
0,0.15,16,0.3,0.005,0.004950271244858584,0.004950271244858584,0.3,1,false,true,candidate,000170
0,0.15,16,0.3,0.01,0.004950270784312538,0.004950270784312538,0.3,1,false,true,candidate,000171
0,0.15,16,0.3,0.02,0.004950258761589943,0.004950258761589943,0.3,1,false,true,candidate,000172
0,0.15,16,0.5,0.005,0.009389279319237165,0.009389279319237165,0.5,2,false,true,candidate,000173
0,0.15,16,0.5,0.01,0.009389278613450625,0.009389278613450625,0.5,2,false,true,candidate,000174
0,0.15,16,0.5,0.02,0.009389259472641909,0.009389259472641909,0.5,2,false,true,candidate,000175
0,0.15,16,1.0,0.005,0.016541458754130156,0.016541458754130156,1.0,3,false,true,candidate,000176
0,0.15,16,1.0,0.01,0.01654145740960211,0.01654145740960211,1.0,3,false,true,candidate,000177
0,0.15,16,1.0,0.02,0.016541420176558574,0.016541420176558574,1.0,3,false,true,candidate,000178
0,0.15,16,3.0,0.005,0.032385271554382644,0.02670138521084109,2.57,8,true,false,candidate,000179
0,0.15,16,3.0,0.01,0.03238526964549626,0.02670138281920953,2.57,8,true,false,candidate,000180
0,0.15,16,3.0,0.02,0.032374528809563596,0.026701297447038197,2.58,8,true,false,candidate,000181
0,0.2,4,0.3,0.005,0.0021340333344894713,0.0021340333344894713,0.3,4,true,true,candidate,000182
0,0.2,4,0.3,0.01,0.002134033339700192,0.002134033339700192,0.3,4,true,true,candidate,000183
0,0.2,4,0.3,0.02,0.002134033411837377,0.002134033411837377,0.3,4,true,true,candidate,000184
0,0.2,4,0.5,0.005,0.00774883753265998,0.00774883753265998,0.5,4,true,true,candidate,000185
0,0.2,4,0.5,0.01,0.007748837540554776,0.007748837540554776,0.5,4,true,true,candidate,000186
0,0.2,4,0.5,0.02,0.00774883764817913,0.00774883764817913,0.5,4,true,true,candidate,000187
0,0.2,4,1.0,0.005,0.02890109149210507,0.02890109149210507,1.0,4,true,true,candidate,000188
0,0.2,4,1.0,0.01,0.028901091508172216,0.028901091508172216,1.0,4,true,true,candidate,000189
0,0.2,4,1.0,0.02,0.02890109172785893,0.02890109172785893,1.0,4,true,true,candidate,000190
0,0.2,4,3.0,0.005,0.048529716186282545,0.030683037163186322,1.85,4,true,false,candidate,000191
0,0.2,4,3.0,0.01,0.048529716229163355,0.030683037231689747,1.85,4,true,false,candidate,000192
0,0.2,4,3.0,0.02,0.04852769571923998,0.030683038227996562,1.84,4,true,false,candidate,000193
0,0.2,6,0.3,0.005,0.00451096167385634,0.00451096167385634,0.3,3,false,true,candidate,000194
0,0.2,6,0.3,0.01,0.004510961656028378,0.004510961656028378,0.3,3,false,true,candidate,000195
0,0.2,6,0.3,0.02,0.004510961337693464,0.004510961337693464,0.3,3,false,true,candidate,000196
0,0.2,6,0.5,0.005,0.01095078345409739,0.01095078345409739,0.5,3,false,true,candidate,000197
0,0.2,6,0.5,0.01,0.010950783421492805,0.010950783421492805,0.5,3,false,true,candidate,000198
0,0.2,6,0.5,0.02,0.010950782843379248,0.010950782843379248,0.5,3,false,true,candidate,000199
0,0.2,6,1.0,0.005,0.02778541018375269,0.02778541018375269,1.0,3,false,true,candidate,000200
0,0.2,6,1.0,0.01,0.027785410114131937,0.027785410114131937,1.0,3,false,true,candidate,000201
0,0.2,6,1.0,0.02,0.027785408880728113,0.027785408880728113,1.0,3,false,true,candidate,000202
0,0.2,6,3.0,0.005,0.05632542307070665,0.05632542307070665,3.0,4,true,false,candidate,000203
0,0.2,6,3.0,0.01,0.056325422841547956,0.056325422841547956,3.0,4,true,false,candidate,000204
0,0.2,6,3.0,0.02,0.05632541874988983,0.05632541874988983,3.0,4,true,false,candidate,000205
0,0.2,8,0.3,0.005,0.0022053907798356143,0.0022053907798356143,0.3,1,false,true,candidate,000206
