d,path,phi,overall,below_gap1,below_accept
0.4960,enviesado,0.628165,0.652800,false,true
0.4980,enviesado,0.626666,0.651400,false,true
0.5000,enviesado,0.625167,0.650000,false,true
0.5020,enviesado,0.623667,0.648600,false,true
0.5040,enviesado,0.622168,0.647200,false,true
0.5060,enviesado,0.620669,0.645800,false,true
0.5080,enviesado,0.619169,0.644400,false,true
0.5100,enviesado,0.617670,0.643000,false,true
0.5120,enviesado,0.616171,0.641600,false,true
0.5140,enviesado,0.614671,0.640200,false,true
0.5160,enviesado,0.613172,0.638800,false,true
0.5180,enviesado,0.611673,0.637400,false,true
0.5200,enviesado,0.610173,0.636000,false,true
0.5220,enviesado,0.608674,0.634600,false,true
0.5240,enviesado,0.607175,0.633200,false,true
0.5260,enviesado,0.605675,0.631800,false,true
0.5280,enviesado,0.604176,0.630400,false,true
0.5300,enviesado,0.602677,0.629000,false,true
0.5320,enviesado,0.601177,0.627600,false,true
0.5340,enviesado,0.599678,0.626200,false,true
0.5360,enviesado,0.598179,0.624800,false,true
0.5380,enviesado,0.596679,0.623400,false,true
0.5400,enviesado,0.595180,0.622000,false,true
0.5420,enviesado,0.593681,0.620600,false,true
0.5440,enviesado,0.592181,0.619200,false,true
0.5460,enviesado,0.590682,0.617800,false,true
0.5480,enviesado,0.589183,0.616400,false,true
0.5500,enviesado,0.587683,0.615000,false,true
0.5520,enviesado,0.586184,0.613600,false,true
0.5540,enviesado,0.584685,0.612200,false,true
0.5560,enviesado,0.583185,0.610800,false,true
0.5580,enviesado,0.581686,0.609400,false,true
0.5600,enviesado,0.580187,0.608000,false,true
0.5620,enviesado,0.578687,0.606600,false,true
0.5640,enviesado,0.577188,0.605200,true,true
0.5660,enviesado,0.575689,0.603800,true,true
0.5680,enviesado,0.574189,0.602400,true,true
0.5700,enviesado,0.572690,0.601000,true,true
0.5720,enviesado,0.571191,0.599600,true,true
0.5740,enviesado,0.569691,0.598200,true,true
0.5760,enviesado,0.568192,0.596800,true,true
0.5780,enviesado,0.566693,0.595400,true,true
0.5800,enviesado,0.565193,0.594000,true,true
0.5820,enviesado,0.563694,0.592600,true,true
0.5840,enviesado,0.562195,0.591200,true,true
0.5860,enviesado,0.560695,0.589800,true,true
0.5880,enviesado,0.559196,0.588400,true,true
