d,path,phi,overall,below_gap1,below_accept
0.3220,uniforme,0.678000,0.678000,false,true
0.3240,uniforme,0.676000,0.676000,false,true
0.3260,uniforme,0.674000,0.674000,false,true
0.3280,uniforme,0.672000,0.672000,false,true
0.3300,uniforme,0.670000,0.670000,false,true
0.3320,uniforme,0.668000,0.668000,false,true
0.3340,uniforme,0.666000,0.666000,false,true
0.3360,uniforme,0.664000,0.664000,false,true
0.3380,uniforme,0.662000,0.662000,false,true
0.3400,uniforme,0.660000,0.660000,false,true
0.3420,uniforme,0.658000,0.658000,false,true
0.3440,uniforme,0.656000,0.656000,false,true
0.3460,uniforme,0.654000,0.654000,false,true
0.3480,uniforme,0.652000,0.652000,false,true
0.3500,uniforme,0.650000,0.650000,false,true
0.3520,uniforme,0.648000,0.648000,false,true
0.3540,uniforme,0.646000,0.646000,false,true
0.3560,uniforme,0.644000,0.644000,false,true
0.3580,uniforme,0.642000,0.642000,false,true
0.3600,uniforme,0.640000,0.640000,false,true
0.3620,uniforme,0.638000,0.638000,false,true
0.3640,uniforme,0.636000,0.636000,false,true
0.3660,uniforme,0.634000,0.634000,false,true
0.3680,uniforme,0.632000,0.632000,false,true
0.3700,uniforme,0.630000,0.630000,false,true
0.3720,uniforme,0.628000,0.628000,false,true
0.3740,uniforme,0.626000,0.626000,false,true
0.3760,uniforme,0.624000,0.624000,false,true
0.3780,uniforme,0.622000,0.622000,false,true
0.3800,uniforme,0.620000,0.620000,false,true
0.3820,uniforme,0.618000,0.618000,false,true
0.3840,uniforme,0.616000,0.616000,false,true
0.3860,uniforme,0.614000,0.614000,false,true
0.3880,uniforme,0.612000,0.612000,false,true
0.3900,uniforme,0.610000,0.610000,false,true
0.3920,uniforme,0.608000,0.608000,false,true
0.3940,uniforme,0.606000,0.606000,false,true
0.3960,uniforme,0.604000,0.604000,false,true
0.3980,uniforme,0.602000,0.602000,false,true
0.4000,uniforme,0.600000,0.600000,false,true
0.4020,uniforme,0.598000,0.598000,false,true
0.4040,uniforme,0.596000,0.596000,false,true
0.4060,uniforme,0.594000,0.594000,false,true
0.4080,uniforme,0.592000,0.592000,false,true
0.4100,uniforme,0.590000,0.590000,false,true
0.4120,uniforme,0.588000,0.588000,false,true
0.4140,uniforme,0.586000,0.586000,false,true
0.4160,uniforme,0.584000,0.584000,false,true
0.4180,uniforme,0.582000,0.582000,false,true
0.4200,uniforme,0.580000,0.580000,false,true
0.4220,uniforme,0.578000,0.578000,false,true
0.4240,uniforme,0.576000,0.576000,true,true
0.4260,uniforme,0.574000,0.574000,true,true
0.4280,uniforme,0.572000,0.572000,true,true
0.4300,uniforme,0.570000,0.570000,true,true
0.4320,uniforme,0.568000,0.568000,true,true
0.4340,uniforme,0.566000,0.566000,true,true
0.4360,uniforme,0.564000,0.564000,true,true
0.4380,uniforme,0.562000,0.562000,true,true
0.4400,uniforme,0.560000,0.560000,true,true
0.4420,uniforme,0.558000,0.558000,true,true
0.4440,uniforme,0.556000,0.556000,true,true
0.4460,uniforme,0.554000,0.554000,true,true
0.4480,uniforme,0.552000,0.552000,true,true
0.4500,uniforme,0.550000,0.550000,true,true
0.4520,uniforme,0.548000,0.548000,true,true
0.4540,uniforme,0.546000,0.546000,true,true
0.4560,uniforme,0.544000,0.544000,true,true
0.4580,uniforme,0.542000,0.542000,true,true
0.4600,uniforme,0.540000,0.540000,true,true
0.4620,uniforme,0.538000,0.538000,true,true
0.4640,uniforme,0.536000,0.536000,true,true
0.4660,uniforme,0.534000,0.534000,true,true
0.4680,uniforme,0.532000,0.532000,true,true
0.4700,uniforme,0.530000,0.530000,true,true
0.4720,uniforme,0.528000,0.528000,true,true
0.4740,uniforme,0.526000,0.526000,true,true
0.4760,uniforme,0.524000,0.524000,true,true
0.4780,uniforme,0.522000,0.522000,true,true
0.4800,uniforme,0.520000,0.520000,true,true
0.4820,uniforme,0.518000,0.518000,true,true
0.4840,uniforme,0.516000,0.516000,true,true
0.4860,uniforme,0.514000,0.514000,true,true
0.4880,uniforme,0.512000,0.512000,true,true
0.4900,uniforme,0.510000,0.510000,true,true
0.4920,uniforme,0.508000,0.508000,true,true
0.4940,uniforme,0.506000,0.506000,true,true
0.4960,uniforme,0.504000,0.504000,true,true
0.4980,uniforme,0.502000,0.502000,true,true
0.5000,uniforme,0.500000,0.500000,true,true
0.5020,uniforme,0.498000,0.498000,true,true
0.5040,uniforme,0.496000,0.496000,true,true
0.5060,uniforme,0.494000,0.494000,true,true
0.5080,uniforme,0.492000,0.492000,true,true
0.5100,uniforme,0.490000,0.490000,true,true
0.5120,uniforme,0.488000,0.488000,true,true
0.5140,uniforme,0.486000,0.486000,true,true
0.5160,uniforme,0.484000,0.484000,true,true
0.5180,uniforme,0.482000,0.482000,true,true
0.5200,uniforme,0.480000,0.480000,true,true
0.5220,uniforme,0.478000,0.478000,true,true
0.5240,uniforme,0.476000,0.476000,true,true
0.5260,uniforme,0.474000,0.474000,true,true
0.5280,uniforme,0.472000,0.472000,true,true
0.5300,uniforme,0.470000,0.470000,true,true
0.5320,uniforme,0.468000,0.468000,true,true
0.5340,uniforme,0.466000,0.466000,true,true
0.5360,uniforme,0.464000,0.464000,true,true
0.5380,uniforme,0.462000,0.462000,true,true
0.5400,uniforme,0.460000,0.460000,true,true
0.5420,uniforme,0.458000,0.458000,true,true
0.5440,uniforme,0.456000,0.456000,true,true
0.5460,uniforme,0.454000,0.454000,true,true
0.5480,uniforme,0.452000,0.452000,true,true
0.5500,uniforme,0.450000,0.450000,true,true
0.5520,uniforme,0.448000,0.448000,true,true
0.5540,uniforme,0.446000,0.446000,true,true
0.5560,uniforme,0.444000,0.444000,true,true
0.5580,uniforme,0.442000,0.442000,true,true
0.5600,uniforme,0.440000,0.440000,true,true
0.5620,uniforme,0.438000,0.438000,true,true
0.5640,uniforme,0.436000,0.436000,true,true
0.5660,uniforme,0.434000,0.434000,true,true
0.5680,uniforme,0.432000,0.432000,true,true
0.5700,uniforme,0.430000,0.430000,true,true
0.5720,uniforme,0.428000,0.428000,true,true
0.5740,uniforme,0.426000,0.426000,true,true
0.5760,uniforme,0.424000,0.424000,true,true
0.5780,uniforme,0.422000,0.422000,true,true
0.5800,uniforme,0.420000,0.420000,true,true
0.5820,uniforme,0.418000,0.418000,true,true
0.5840,uniforme,0.416000,0.416000,true,true
