k,alpha,drive_order,pitch_measured,relax_order_2d
1.3,0.2,0.28157190443145347,0.20000546437662256,0.9999999999938438
1.3,0.3,0.30075752542461975,0.3000054643766224,0.9999999999987008
1.3,0.4,0.3618795836551207,0.4000054643766227,0.24279209488415104
1.3,0.5,0.19960344799196064,0.5000054643766224,0.28603947125744295
1.3,0.6,0.321402046782485,0.6000054643766226,0.13655605564722742
1.3,0.7,0.1554313552074519,0.7000054643766223,0.299873831497466
1.3,0.8,0.08666784141719452,0.8000054643766225,0.1868887847163476
1.4000000000000001,0.1,0.8328170105969305,0.10000401748110546,0.9999999999999195
1.4000000000000001,0.2,0.30319316040330885,0.20000401748110538,0.9999999999994176
1.4000000000000001,0.3,0.29876412236449285,0.30000401748110544,0.9999999999998759
1.4000000000000001,0.4,0.3508093535020125,0.4000040174811054,0.24279539790538196
1.4000000000000001,0.5,0.20088290858608732,0.5000040174811055,0.2860641843307244
1.4000000000000001,0.6,0.3031083033119231,0.6000040174811054,0.5069340137999079
1.4000000000000001,0.7,0.10832102278915702,0.7000040174811054,0.34261064679346726
1.4000000000000001,0.8,0.09292556720791706,0.8000040174811055,0.0860538429207285
1.5,0.1,0.8951882402076639,0.10000295366967991,0.9999999999999934
1.5,0.2,0.31622807256550994,0.20000295366967993,0.9999999999999399
1.5,0.3,0.29757605037354207,0.30000295366968,0.9999999999999879
1.5,0.4,0.3429278473700658,0.40000295366967986,0.24279667935632118
1.5,0.5,0.20198213325866685,0.50000295366968,0.28607853386828386
1.5,0.6,0.3072544781654089,0.6000029536696799,0.21486194978864354
1.5,0.7,0.24355675549917702,0.7000029536696798,0.20622582630438527
1.5,0.8,0.11776529858683361,0.8000029536696798,0.013713721454563725
1.6,0.1,0.9687875091685739,0.10000217152518316,0.9999999999999997
1.6,0.2,0.3296092951811213,0.20000217152518288,0.9999999999999946
1.6,0.3,0.2969325239745128,0.3000021715251831,0.9999999999999986
1.6,0.4,0.3378726416978748,0.400002171525183,0.24279721712130853
1.6,0.5,0.2025475442093955,0.500002171525183,0.28608687647259223
1.6,0.6,0.33110237566171896,0.6000021715251829,0.3100695408450362
1.6,0.7,0.1345366587767651,0.7000021715251828,0.24684099776275256
1.6,0.8,0.17446360722256177,0.800002171525183,0.14044372252394294
